concept_id,category_id
65,966
24,"626, 632, 638, 644, 650, 656, 662, 668, 674, 680, 686, 692, 698, 704, 710, 716, 722, 728, 734, 740, 746, 752, 758, 764, 770, 776, 95, 177, 87, 90, 97, 89, 96, 83, 84, 88"
59,"416, 1009, 417, 1008"
25,"85, 86"
27,"93, 310"
32,"103, 312"
60,"944, 418"
62,945
63,946
47,"181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195"
66,967
26,"91, 92, 301, 302"
31,"98, 100, 298, 101, 297, 299"
28,"180, 308, 925, 179, 345, 94, 178, 307, 102, 304, 306, 305"
12,"47, 43, 44, 45, 46"
61,"787, 793, 799, 805, 811, 817, 823, 829, 835, 841, 847, 853, 859, 865, 871, 877, 883, 889, 895, 901, 907, 913, 919, 926, 932, 938, 963, 964, 965, 962"
39,"139, 156, 151, 330, 337, 153, 140, 154, 336, 155, 333, 152, 331, 348, 334, 335, 332, 975"
30,16
15,"61, 54, 58, 50, 60, 59"
38,"347, 136, 138, 392, 137, 394, 393"
29,"11, 390"
41,"159, 161, 364, 160, 366, 365, 162, 367"
42,"163, 165, 371, 164, 373, 372, 166, 374"
43,"167, 169, 376, 168, 378, 377, 170, 379"
44,"171, 173, 381, 172, 383, 382, 174, 384"
45,"175, 947, 386, 230, 976, 387, 231, 388"
48,"244, 397, 951, 979, 245, 398, 952, 980, 953, 981, 954, 982, 246, 399, 247, 400, 955, 983, 196, 396, 956, 984, 248, 401, 957, 985, 958, 986, 950, 1004, 949, 249, 987, 402"
40,"148, 343, 142, 141, 147, 144, 145, 339, 341, 344, 340, 342"
34,"110, 346, 328, 112, 973, 327"
51,"948, 238, 239, 240, 241, 242, 232, 234, 968, 978, 410, 411, 412, 413, 414, 236, 233, 404, 406, 977, 237, 243, 408, 405, 235, 409, 415, 407"
33,"114, 315, 974, 158, 113, 324, 149, 105, 146, 107, 109, 314, 108, 150, 322, 317, 157, 104, 321, 318, 320, 319, 325, 323, 316"
49,"972, 989, 200, 199, 203, 503, 502, 202, 201, 506, 505, 504"
4,"23, 14, 15, 34, 462, 25, 26, 457, 460, 461, 458, 459, 24, 463"
1,"1, 5, 2, 27, 350, 527, 525, 531, 524, 532, 7, 3, 351, 13, 4, 530, 528, 533, 523, 529, 6, 526"
5,"19, 20, 465, 466"
7,"29, 31, 475, 30, 477, 476, 204, 478"
3,"970, 198, 197, 988, 454, 419, 453, 455, 18, 452"
8,"32, 33, 480, 123, 481, 482"
9,"37, 969, 121, 485, 131, 990, 36, 356, 38, 487, 128, 489, 484, 490, 486, 488"
10,"42, 122, 115, 492, 39, 495, 494, 493"
11,"41, 124, 498, 40, 116, 500, 497, 499"
35,"117, 118, 229, 423, 125, 424, 426, 425"
50,"215, 508, 216, 226, 509, 519, 217, 227, 510, 520, 218, 511, 219, 512, 220, 513, 221, 514, 222, 515, 223, 516, 224, 517, 225, 228, 518, 521"
2,"214, 448, 135, 445, 212, 353, 352, 213, 446, 450, 449, 447, 9, 444"
36,"132, 129, 119, 207, 126, 206, 354, 421, 420, 127, 430, 428, 369, 435, 210, 205, 429, 434, 438, 442, 441, 431, 120, 355, 440, 437, 433, 208, 439, 432, 436"
6,"211, 130, 28, 473, 961, 35, 469, 21, 22, 471, 468, 470"
20,"77, 78, 559, 560, 290, 292, 562, 291, 71, 69, 564, 563, 558, 561, 70, 557"
21,"73, 566, 74, 569, 75, 567, 76, 568"
54,"277, 278, 605, 279, 606, 607"
53,"273, 274, 600, 276, 601, 603, 275, 602"
67,"991, 993"
19,"64, 65, 17, 553, 72, 552, 66, 12, 551, 554, 555, 550"
68,"997, 999"
56,"293, 358, 614, 294, 616, 615"
22,"79, 571"
55,"282, 609, 283, 285, 284, 610, 612, 611"
52,"257, 269, 359, 593, 270, 271, 272, 594, 598, 595, 596, 597"
18,"360, 286, 209, 548, 261, 63, 262, 287, 544, 260, 538, 62, 289, 258, 542, 1010, 543, 545, 288, 541, 537, 10, 547, 539, 259, 546, 535, 540"
23,"81, 82, 250, 251, 252, 263, 80, 265, 1005, 994, 254, 574, 575, 576, 577, 578, 268, 1000, 583, 266, 573, 267, 585, 280, 1006, 995, 253, 255, 959, 361, 256, 264, 580, 588, 1001, 281, 586, 587, 589, 579, 581, 996, 591, 582, 584, 590"
113,"1209, 1211, 1212, 1208, 1207, 1213, 1210, 1205, 1203, 1204"
115,"1216, 1215, 1214"
116,1217
117,1218
118,1219
119,"1220, 1221"
120,"1223, 1222"
121,"1224, 1225"
122,"1227, 1226"
123,"1228, 1229"
124,"1233, 1232, 1230, 1231, 1234"
125,1235
16,"51, 622"
126,"1237, 1236"
127,"1239, 1238"
128,"1242, 1241, 1240"
129,"1245, 1248, 1244, 1243, 1246, 1247"
130,"1251, 1249, 1250"
131,"1252, 1254, 1253"
132,"1257, 1256, 1255"
134,"1261, 1260, 1259"
135,"1262, 1264, 1265, 1263"
136,"1267, 1269, 1268, 1266"
137,1270
138,"1271, 1274, 1273, 1272"
139,"1276, 1275"
140,"1278, 1277"
141,"1279, 1280"
142,1281
143,"1291, 1288, 1286, 1287, 1289, 1292, 1283, 1285, 1284, 1282, 1290"
144,1293
145,1294
146,"1297, 1298, 1295, 1296"
147,"1302, 1306, 1305, 1303, 1304, 1369, 1299, 1301"
148,"1307, 1312, 1308, 1310, 1309, 1313"
13,"48, 620"
149,1314
150,"1315, 1321, 1323, 1322, 1320, 1319, 1317, 1316, 1318"
64,"960, 1003"
151,1324
152,1325
153,"1328, 1327, 1326"
17,"52, 53, 624, 625"
114,"1329, 1333, 1330, 1206, 1332, 1331"
154,"1338, 1334, 1336, 1335, 1337"
155,1339
156,"1348, 1349, 1346, 1347, 1343, 1340, 1342, 1345, 1344, 1341"
157,"1352, 1351, 1350"
14,"49, 618"
159,"1355, 1354"
160,"1363, 1362, 1359, 1361, 1357, 1360, 1356, 1358"
161,"1365, 1364"
